hallucination, cumulative_confidences, P_T_given_I_Q_Full, entropy_sum, cumulative_confidences2, P_T_given_I_Q_Full2, entropy_sum2 
False, [2.464977466504728e-07], 2.464977466504728e-07, 3.7491666727048045e-06,None, None, None
False, [4.151521419887809e-07], 4.151521419887809e-07, 6.099033829081279e-06,None, None, None
False, [1.6949891622769203e-07], 1.6949891622769203e-07, 2.6410001336469953e-06,[1.5090040061866407e-06], 1.5090040061866407e-06, 2.0225440924586786e-05
False, [2.6087577786054484e-07], 2.6087577786054484e-07, 3.953157775767275e-06,None, None, None
False, [3.617014225826803e-07], 3.617014225826803e-07, 5.363433850587885e-06,None, None, None
False, [2.497999798040633e-07], 2.497999798040633e-07, 3.7960902413989555e-06,None, None, None
False, [2.454749345932011e-07], 2.454749345932011e-07, 3.734623924740307e-06,None, None, None
False, [2.206382116926558e-07], 2.206382116926558e-07, 3.38013216766632e-06,None, None, None
False, [1.212671616374588e-07], 1.212671616374588e-07, 1.929619737294893e-06,[9.856180404338161e-08], 9.856180404338161e-08, 1.5884431308782498e-06
False, [1.6262339207767364e-07], 1.6262339207767364e-07, 2.540537838916017e-06,[2.0236984531746e-07], 2.0236984531746e-07, 3.117619288489944e-06
False, [2.8112834903620533e-07], 2.8112834903620533e-07, 4.239159348113412e-06,None, None, None
False, [2.350496952547271e-07], 2.350496952547271e-07, 3.586147360943779e-06,None, None, None
False, [2.8100838100069976e-07], 2.8100838100069976e-07, 4.237469595490282e-06,None, None, None
False, [1.0062373511371127e-07], 1.0062373511371127e-07, 1.619626123242949e-06,[1.0868245502731728e-07], 1.0868245502731728e-07, 1.7411018005467448e-06
False, [1.685457231476698e-07], 1.685457231476698e-07, 2.627089397761447e-06,[4.6494043991767966e-07], 4.6494043991767966e-07, 6.778004182031428e-06
False, [2.462532631059526e-07], 2.462532631059526e-07, 3.745690895394572e-06,None, None, None
False, [1.8465904182701478e-07], 1.8465904182701478e-07, 2.861542676632954e-06,[4.66613426999882e-07], 4.66613426999882e-07, 6.800722968903821e-06
False, [2.3319593188969319e-07], 2.3319593188969319e-07, 3.5596981437689227e-06,None, None, None
False, [5.179672495276256e-07], 5.179672495276256e-07, 7.495275934998923e-06,None, None, None
False, [2.441231696709814e-07], 2.441231696709814e-07, 3.7153974506286245e-06,None, None, None
False, [3.216548360913092e-07], 3.216548360913092e-07, 4.807176245341792e-06,None, None, None
True, [2.0192329577892115e-08], 2.0192329577892115e-08, 3.5599515261791763e-07,[1.2097614457470709e-08], 1.2097614457470709e-08, 2.187196016179514e-07
False, [2.396408955635503e-07], 2.396408955635503e-07, 3.6515911875310048e-06,None, None, None
False, [7.571861271233301e-07], 7.571861271233301e-07, 1.067011199758331e-05,None, None, None
False, [5.753228844357886e-07], 5.753228844357886e-07, 8.264994767081407e-06,None, None, None
False, [5.917891723245499e-07], 5.917891723245499e-07, 8.484891008112718e-06,None, None, None
False, [3.6680991221399137e-07], 3.6680991221399137e-07, 5.434062257702915e-06,None, None, None
False, [2.2141389698643045e-07], 2.2141389698643045e-07, 3.3912441994037236e-06,None, None, None
False, [4.266444033535462e-07], 4.266444033535462e-07, 6.25626110401935e-06,None, None, None
False, [2.703014967326249e-07], 2.703014967326249e-07, 4.086453900268142e-06,None, None, None
False, [2.1887401934489156e-07], 2.1887401934489156e-07, 3.35484916510231e-06,None, None, None
False, [2.414517847799084e-07], 2.414517847799084e-07, 3.6773796464700434e-06,None, None, None
False, [1.651188323765178e-07], 1.651188323765178e-07, 2.577033167995976e-06,[1.7425662512121358e-07], 1.7425662512121358e-07, 2.7103537130335324e-06
False, [5.389673116613065e-07], 5.389673116613065e-07, 7.777801110870563e-06,None, None, None
